"idstd","id","a4a","a6a","a2","a3b","a3c","a3","a13","a4b","a0","a3a","a6b","a14d","a14m","a14y","a14h","a14min","a12","a1","a1a","a7","a7a","a7b","a7c","a11","a9","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1a","d1a1x","d1a2","d1a3","d2","d2x","n3","d3a","d3b","d3c","d4","d5a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d15a","d30a","d30b","e1","e2b","e6","e11","e30","AFe31","AFe32","AFe33a","AFe33b","AFe33c","AFe33d","AFe33e","AFe33f","AFe33g","AFe33gx","AFe34","h1","h2","h3x","h4x","h5","h6x","h7x","h8","h9","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","AFk3a","k4","n5a","n5b","k5a","k5a1","k5i","k5i1","k5bc","k5bc1","k5e","k5e1","k5f","k5f1","AFk5hdj_a1","AFk5hdj_a1_1","AFk5hdj_a2","AFk5hdj_a2_1","AFk5e2","k4b","n5c","n5d","k6","k7","k8","k9","mc1","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","k20a1","k21","k30","MMs1","MMs1a","MMs2","MMs3","MMs4","MMs5","MMs6","MMs7","MMs8","MMs9","MMs10","MMs11a","MMs11b","MMs11c","MMs11d","MMs11e","MMs11f","mc2","mc3","mc4","mc4x","mc5","mc6","mc6x","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l6","l6a","l8","l9b","l10","l11a","l11a1","l11b","l11b1","AFl11a","AFl11b","AFl11c","AFl11d","AFl11e","AFl11f","AFl11g","AFl12","AFl13a","AFl13b","AFl13c","AFl13d","AFl13e","AFl13x","AFl14a1x","AFl14d1","AFl14a2x","AFl14d2","AFl14a3x","AFl14d3","l30a","l30b","m1a","n2a","n2e","n2b","n2i","n2p","n6a","n7a","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata"
619592,16,1,1,2,2,2,4,5400,18,1,2,1,10,9,2017,9,5,3409,87,2,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1988,2,2,1989,10,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,2,2,0,0,1,"African Design Shirt, Dresses And School Uniform",1810,95,160000,"One Hundred Sixty Thousand",125000,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,0,1,1,-9,2,2,0,1,1,1,2,2,2,2,2,2,"",0,1,1,"A New Lady Suit","Completely New",1,"The Establishment Introduce The Free Packaging And Publication Of The Business","Completely New",2,NA,75,48,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,25,25,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,1,2,NA,NA,"",NA,1,"",3,0,2,NA,NA,2,NA,NA,0,2,NA,NA,1,4,2,0,0,0,0,0,0,17,14,15,2,6,6,3,3,-9,NA,0,NA,NA,50,1,NA,2,NA,0,2,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,0,14,12000,8000,5600,NA,56000,-9,11250,"Manager",10,1,"",NA,NA,"",NA,NA,10,9,2017,9,58,2,3,3,0,50,2,4,1,1,1,1,1,16
619593,17,1,1,1,1,1,3,5400,50,3,1,1,19,7,2017,16,15,5641,87,2,1,3,1,1,2,NA,4,"",75,75,0,0,25,2,NA,1995,3,2,2000,3,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,1,1,6,"Sale Of Cars",5010,50,12000,"Twelve Thousand",2000,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,0,0,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,0,100,0,2,NA,NA,NA,NA,"",1,2,NA,NA,2,NA,NA,1,25,50,50,0,0,0,50,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,"",NA,5,"",4,0,1,5,1,2,NA,2,NA,2,NA,NA,2,NA,NA,1,1,1,0,3,3,15,13,NA,NA,NA,NA,NA,NA,NA,0,5,0,5,0,2,NA,NA,NA,NA,1,1,1,1,0,1,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,1,1,2000,NA,500,NA,NA,NA,NA,"Manger",3,1,"",NA,NA,"",NA,NA,19,7,2017,16,47,1,1,1,NA,NA,1,1,1,1,14.6600675582886,17.6738700866699,32.086784362793,2
619594,18,2,1,1,1,1,2,5400,52,2,1,2,28,8,2017,17,54,3409,87,2,1,3,1,1,1,NA,4,"",50,50,50,0,0,1,50,2009,19,1,2009,10,1,2,"",1,2,1,1,1,2,30,2,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,3,0,2,"Household Material",5233,50,138000,"One Hundred Thirty Eight Thousand",80000,100,0,0,NA,NA,NA,NA,NA,20,10,0,100,1,7,NA,3,3,NA,NA,NA,1,4,1,1,2,1,2,2,2,2,2,"",1,1,1,"The Establishment Imported New Kitchen And Bathrooms Materials","The Old Material For House Cost Less And The Qualities Of The Products Was Poor Than The New Introduced Materials And It Also Expensive Then The Old One.",1,"Free Delivery Of Good When It Is A Whole Sale Purchase And 20 % Discount","Completely New",2,NA,NA,NA,0,100,0,0,100,0,2,NA,NA,-9,NA,"",0,1,NA,5000,1,NA,7000,4,0,0,50,50,0,0,0,NA,1,10000,6000,NA,10000,NA,0,NA,0,NA,6000,NA,0,NA,0,NA,0,0,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,NA,NA,"",NA,2,"",1,5,1,6,1,2,NA,-9,NA,1,2,1,1,2,1,4,4,4,0,3,0,18,12,NA,NA,NA,NA,NA,NA,NA,6,8,3,6,10,2,NA,NA,NA,NA,0,0,1,1,1,1,0,1,2,2,2,2,2,"","University Of Liberia",4,"African Methodist Episcopal Zion University",4,"",NA,2,0,14,15000,NA,1000,11000,NA,NA,NA,"Manager",5,2,"",NA,NA,"",NA,NA,28,8,2017,19,13,1,1,3,1,30,1,1,2,1,37.1034393310547,46.377025604248,111.727096557617,4
619595,20,2,1,1,1,1,2,5400,55,3,1,2,24,8,2017,11,24,3855,87,2,2,NA,NA,NA,NA,NA,4,"",30,100,0,0,0,1,10,1994,8,2,2001,20,2,2,"",1,400,2,1,5,24,0,0,NA,1,25,1,6,1,NA,NA,NA,1,2,1,2,5,"Restaurant And Accomodation",5510,100,11500,"Eleven Thousand Five Hundred",10200,100,0,0,NA,NA,NA,NA,NA,0,10,100,0,NA,NA,NA,3,0,NA,NA,NA,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,NA,600,2,NA,NA,0,0,0,100,0,0,0,0,NA,1,6000,1500,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,NA,NA,"",NA,5,"",1,-9,1,1,2,2,NA,-9,NA,2,NA,NA,1,-9,2,1,1,0,0,0,0,22,20,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,100,1,NA,NA,NA,NA,1,1,1,1,1,0,1,1,2,2,1,2,2,"","African Methodist Episcopal University",4,"Kakata Rural Teachers Training Institute",4,"University Of Liberia",4,0,0,1,3500,NA,5000,NA,NA,NA,NA,"Proprietor",20,1,"Principal",21,1,"",NA,NA,24,8,2017,12,26,2,2,3,1,5,1,1,2,1,6.77423906326294,8.39657783508301,20.2282333374023,4
619596,21,1,1,1,1,1,2,4400,50,3,1,2,19,7,2017,11,13,5154,87,2,2,NA,NA,NA,NA,NA,5,"",30,80,20,0,0,2,NA,1998,1998,1,1998,20,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,1,100,2,NA,NA,NA,NA,NA,2,2,3,3,6,"Maintainance Of Machinery Parts And Painting Of Vehicles",5020,40,35000,"Thirty Five Thousand",15000,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,3,3,NA,NA,NA,1,3,1,1,1,2,1,2,2,1,2,"",0,1,2,"Body Spraying, Electrical Connection Im Cars","Completely New",2,"","",2,NA,NA,NA,0,100,0,0,100,0,2,NA,NA,NA,NA,"",3,1,30,NA,2,NA,NA,3,0,40,80,0,0,0,20,NA,1,580,1000,50,NA,30,NA,0,NA,0,NA,0,NA,0,NA,20,NA,NA,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,1,"",2,NA,"",1,40,2,NA,NA,2,NA,30,NA,2,NA,NA,1,7,1,3,3,3,3,3,3,25,12,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,-9,2,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,3,3,4,5000,NA,150,NA,NA,NA,NA,"Ceo",19,1,"Assistant Manager",10,1,"Manager",10,1,19,7,2017,12,14,2,2,3,0,45,1,1,1,1,14.6600675582886,17.6738700866699,32.086784362793,2
619597,22,1,1,1,2,2,5,6791,55,3,3,2,4,9,2017,17,4,2527,87,2,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,1,100,1990,6,2,2009,27,1,2,"",1,30,1,1,2,72,0,10,NA,1,50,2,NA,NA,NA,NA,NA,2,2,1,-7,5,"Restaurants, Bars And Canteens",5520,80,30000,"Thirty Thousand",15000,100,0,0,NA,NA,NA,NA,NA,0,5,100,0,NA,NA,NA,4,2,NA,NA,NA,1,-9,1,2,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,"","",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,6,60,0,40,0,0,40,1,10000,5600,100,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,2,NA,NA,2,2,1,3,1,2016,400,2,NA,NA,NA,NA,NA,NA,1,-9,2,1,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-9,-9,-9,-9,-9,1,2,NA,"",NA,NA,"",3,0,1,2,1,2,NA,1,NA,2,NA,NA,2,NA,NA,1,0,0,-7,1,-7,21,16,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,2,NA,NA,NA,NA,1,1,-9,-9,-9,-7,-7,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,0,1,9000,NA,12000,NA,NA,NA,NA,"Caretaker",10,2,"",NA,NA,"",NA,NA,4,9,2017,17,41,2,3,1,NA,NA,1,1,1,1,14.6600675582886,17.6738700866699,32.086784362793,2
619598,23,1,1,3,2,1,4,6791,36,1,3,1,7,8,2017,14,27,5288,87,2,2,NA,NA,NA,NA,NA,2,"",50,100,0,0,0,1,1,1992,6,1,1992,35,2,2,"",1,-5,1,2,NA,NA,NA,NA,NA,1,100,2,NA,NA,2,NA,NA,1,2,4,1,1,"Door, Tables, Plent, Bed,Chairs",3610,90,93000,"Ninety-Three Thousand Dollars",42000,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,3,1,1,22,2,1,3,2,1,1,1,2,2,2,2,2,"",0,2,NA,"","",2,"","",2,NA,100,8,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,7,NA,2,NA,NA,1,0,0,70,30,0,0,0,NA,1,21,1800,70,NA,0,NA,30,NA,0,NA,0,NA,0,NA,0,NA,NA,1,14000,2250,1,2,1,1,NA,2016,8000,1,2,2,2,1,2,2600,1,2600,1,1,NA,1,1,1,1,14,2,2,NA,1,4,2,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,3,"",3,4,1,4,2,1,0,NA,0,2,NA,NA,2,NA,NA,3,3,1,0,1,1,16,13,11,5,3,6,2,0,0,NA,0,NA,NA,95,2,NA,NA,NA,NA,1,1,1,1,1,0,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,0,12,20000,35000,10250,NA,79300,8000,10000,"Manager",35,1,"Financial Manager",16,1,"",NA,NA,7,8,2017,16,25,2,2,2,2,0,3,1,1,1,4.23610591888428,4.36047172546387,7.34642362594604,19
619599,24,1,1,1,1,1,2,5400,18,1,1,1,29,8,2017,10,28,3409,87,2,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2008,3,2,2010,10,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,1,100,2,NA,NA,2,NA,NA,2,2,3,0,1,"African Suit",1810,100,40000,"Forty Thousand",19450,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,0,0,1,-4,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,1,"The Clothes Are Ironed And Wrapped In Plastic","Completely New",1,"Introduction Of The Designed Machine","There Was A New Machines Purchase For Improvement",2,NA,75,48,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,1,NA,800,1,NA,150,4,0,0,100,0,0,0,0,NA,1,3000,0,NA,3000,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,2,NA,NA,"",NA,5,"",1,5,1,5,2,2,NA,-9,NA,2,NA,NA,2,NA,NA,3,3,3,0,2,0,9,6,7,2,4,2,1,0,0,NA,0,NA,NA,75,1,NA,4,NA,2,0,0,1,1,1,0,1,1,2,2,2,2,2,"","-7",NA,"-7",NA,"-7",NA,0,0,14,7000,2500,1000,NA,12000,150,4500,"Manager",10,1,"",NA,NA,"",NA,NA,29,8,2017,13,26,1,4,3,3,0,1,1,1,1,1,1.21538984775543,2.20653176307678,2
619600,26,1,1,1,1,1,2,5400,18,1,1,1,30,8,2017,8,25,3409,87,2,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2005,5,2,2009,5,2,2,"",2,NA,NA,2,NA,NA,NA,NA,NA,1,10,2,NA,NA,2,NA,NA,2,2,3,1,1,"African Dresses, Shirts, Trousers",1810,100,80000,"Eighty Thousand",50000,100,0,0,NA,NA,NA,NA,NA,25,5,100,0,NA,NA,NA,0,3,1,-4,2,1,0,1,1,1,2,2,1,2,2,2,"",0,1,1,"The Establishment Introduced Wiz Kid Vai African Shirt, Rap Around African Dresses","Completely New",1,"There Is A New Method Used By The Establishment To Designed A Dress With The Design Sewing Machine. It Makes The Dress More Expensive And Classic.","Completely New",2,NA,25,48,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,1,NA,200,3,25,25,0,0,0,0,100,NA,1,1500,2000,NA,1500,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2000,NA,1,1500,2000,1,1,1,4,NA,2014,6000,2,NA,NA,NA,NA,NA,NA,2,9000,1,2,1,NA,1,2,1,12,2,1,50,2,NA,1,25,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,5,"",3,15,1,7,1,1,0,NA,0,2,NA,NA,1,4,2,4,3,2,0,1,1,12,6,9,3,9,0,0,2,0,NA,3,1,5,75,1,NA,9,NA,0,2,2,1,1,1,2,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,0,14,15000,6000,1500,NA,30000,150,300,"Manager",5,1,"",NA,NA,"",NA,NA,30,8,2017,10,48,1,2,3,2,30,1,1,1,1,1,1,1.73864269256592,2
619601,27,2,1,1,1,1,2,5400,19,1,1,1,12,9,2017,7,34,3409,87,2,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,1998,4,1,1998,3,2,2,"",1,2,1,1,3,2,45,NA,0,2,NA,2,NA,NA,2,NA,NA,2,2,3,0,1,"African Leather Shoes, Slappers, Belts And Wellets",1920,100,360000,"Three Hundred Sixty Thousand",240000,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,0,1,1,-4,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,"",2,1,1,"The Production Of The New Woman Leather Bags And Poes","Completely New",1,"The Leather Polishing Machine For Manufacturing Was Introduced To Clean The Leather After Production.","Completely New",2,NA,100,48,0,100,0,0,100,0,2,NA,NA,NA,NA,"",3,2,NA,NA,2,NA,NA,2,-9,0,0,0,0,0,100,NA,1,1200,500,NA,0,NA,500,NA,0,NA,0,NA,0,NA,0,NA,1200,NA,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,2,2,NA,NA,"",NA,5,"",2,5,1,10,1,2,NA,NA,0,2,NA,NA,1,3,-8,1,3,2,1,4,0,5,4,5,0,0,5,0,0,0,NA,0,NA,NA,5,2,NA,NA,NA,NA,2,1,1,1,1,2,2,1,2,2,2,2,2,"","-7",NA,"-7",NA,"-7",NA,2,0,4,18000,15000,2000,NA,85000,3400,500,"Manager",5,1,"",NA,NA,"",NA,NA,12,9,2017,8,42,1,1,3,1,5,1,1,2,1,37.1034393310547,46.377025604248,111.727096557617,4
619602,34,1,1,1,1,1,3,5400,51,3,1,2,7,7,2017,14,7,5641,87,2,2,NA,NA,NA,NA,NA,4,"",50,100,0,0,0,2,NA,2009,6,2,2010,30,2,2,"",1,60,2,1,0,NA,NA,0,NA,1,50,2,NA,NA,NA,NA,NA,2,2,3,0,3,"Whole Sales Of African Clothes",5131,20,2950,"Two Thousand Nine Hundred Fifty",245,90,0,10,NA,NA,NA,NA,2013,5,0,10,90,2,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,"",1,2,NA,"","",2,"","",2,NA,NA,NA,0,100,0,0,100,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,1,5,3,90,0,10,0,0,0,1,5,5,10,NA,10,NA,10,NA,10,NA,10,NA,10,NA,40,NA,0,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,"",NA,1,"",4,0,1,3,2,2,NA,5,NA,1,7,2,1,4,2,0,1,1,1,1,0,23,15,NA,NA,NA,NA,NA,NA,NA,3,23,3,12,8,2,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,"","African Methodist Episcopal University",4,"African Methodist Episcopal University",4,"University Of Liberia",4,0,1,15,500,NA,300,NA,NA,NA,NA,"Manager",30,1,"",NA,NA,"",NA,NA,7,7,2017,15,14,1,1,1,NA,NA,1,1,1,1,8.67806816101074,11.0044765472412,19.9785480499268,2
619603,35,2,1,1,1,1,2,5400,55,3,1,1,14,9,2017,15,0,3409,87,2,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,1,100,2001,7,1,2001,6,1,2,"",1,4,2,1,2,2,45,NA,1500,1,25,1,1,2,NA,NA,NA,2,2,3,0,5,"Liberian Food Service",5520,100,320000,"Three Hundred Twenty Thousand",110000,100,0,0,NA,NA,NA,NA,NA,0,0,100,0,NA,NA,NA,0,1,NA,NA,NA,1,0,1,1,1,1,2,1,2,1,2,"",1,1,1,"The Establishment Was Improve By Installing Ac In The Restaurant. First It Used To Be Fan.","Completely New",1,"Free Delivery To Customers At Offices And Home","Completely New",2,NA,NA,NA,0,100,0,0,100,0,1,1,2,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,0,50,25,0,0,25,NA,1,3000,2000,NA,3000,NA,0,NA,2000,NA,0,NA,0,NA,0,NA,0,NA,2,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,1,1,1,1,1,1,50,1,30,2,NA,1,60,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,5,"",1,0,1,3,2,2,NA,NA,0,2,NA,NA,1,1,2,2,4,3,1,4,3,13,10,NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,100,2,NA,NA,NA,NA,1,2,1,1,1,1,0,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,2,8,2000,NA,500,NA,NA,NA,NA,"General Manager",6,2,"",NA,NA,"",NA,NA,14,9,2017,15,53,1,1,3,1,0,1,1,2,1,37.1034393310547,46.377025604248,111.727096557617,4
619604,36,2,1,1,1,1,2,6791,50,3,1,1,22,8,2017,9,54,3048,87,2,2,NA,NA,NA,NA,NA,3,"",100,0,0,0,100,2,NA,2003,6,2,2006,20,2,2,"",2,NA,NA,1,15,12,0,80,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,3,0,6,"Repairing Of Motor Bikes, Generators And Spare Parts.",5040,100,120000,"One Hundred Twenty Thousand",58000,100,0,0,NA,NA,NA,NA,NA,-7,NA,100,0,NA,NA,NA,3,0,NA,NA,NA,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,"",0,1,1,"Yes, We Started Selling Building Materials And Making Of Building Blocks.","Nothing Similar",2,"","",2,NA,NA,NA,100,0,0,100,0,0,2,NA,NA,NA,NA,"",0,2,NA,NA,2,NA,NA,0,0,5,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,"",NA,3,"",1,0,1,1,2,2,NA,0,NA,2,NA,NA,2,NA,NA,0,0,0,0,1,0,6,4,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,20,2,NA,NA,NA,NA,0,0,0,0,1,0,1,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,0,0,8,5600,NA,1540,NA,NA,NA,NA,"General Manager",14,1,"",NA,NA,"",NA,NA,22,8,2017,13,14,1,2,1,NA,NA,1,1,2,1,37.1034393310547,46.377025604248,111.727096557617,4
619605,37,2,1,1,1,1,2,5400,52,2,1,1,31,8,2017,9,17,3409,87,2,2,NA,NA,NA,NA,NA,3,"",100,100,0,0,0,2,NA,2007,6,1,2007,4,2,2,"",1,1,1,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,2,0,1,2,"Jeans Trousers, Design Shirts, Ladies Dresses, Man Shoes, Man Coat Suits",5232,100,290000,"Two Hundred Ninety Thousand",120000,100,0,0,NA,NA,NA,NA,NA,5,10,25,75,1,7,NA,0,1,NA,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,"",0,2,NA,"","",2,"","",2,NA,NA,NA,0,100,0,0,100,0,2,NA,NA,-9,NA,"",0,1,NA,500,1,NA,1000,4,25,30,0,0,0,0,100,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,"",NA,1,"",2,0,1,6,2,2,NA,NA,0,1,-6,2,1,7,2,3,4,2,1,3,2,6,4,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,5,2,NA,NA,NA,NA,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,"","-7",NA,"-7",NA,"-7",NA,1,1,14,1000,NA,200,1200,NA,NA,NA,"Manager",6,1,"",NA,NA,"",NA,NA,31,8,2017,11,16,2,1,3,2,18,1,1,2,1,21.9634857177734,28.8762397766113,69.5658721923828,4
619606,42,1,1,1,1,1,3,5400,18,1,1,3,5,9,2017,15,13,7312,87,2,2,NA,NA,NA,NA,NA,3,"",100,0,100,0,0,2,NA,2006,5,1,2006,8,1,2,"",2,NA,NA,1,10,8,0,15,NA,1,15,2,NA,NA,2,NA,NA,2,2,3,1,1,"Clothes",1810,90,176985,"One Hundred Seventy Six Thousand Nine Hundred Eighty Five",126000,100,0,0,NA,NA,NA,NA,NA,0,5,0,100,1,14,2,3,3,2,10,2,1,4,2,1,1,2,1,1,1,2,2,"",1,2,NA,"","",1,"Started Bringing More Quality Goods","Customers Say That Goods Are Now More Lasting",2,NA,95,48,0,100,0,0,100,0,2,NA,NA,NA,NA,"",3,2,NA,NA,2,NA,NA,1,20,0,100,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8900,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,2,2,1,1,2,2,NA,2,NA,1,10,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"",NA,3,"",-9,2,1,2,2,2,NA,0,NA,2,NA,NA,1,5,2,3,3,2,2,2,1,110,14,55,55,20,5,30,4,2,NA,3,3,3,80,2,NA,NA,NA,NA,-7,1,1,1,1,-7,-7,2,NA,NA,NA,NA,NA,"","United Methodist University",3,"",NA,"",NA,2,1,8,10200,37000,6740,NA,93940,-9,7800,"Stock Keeper",5,2,"",NA,NA,"",NA,NA,5,9,2017,15,58,1,4,3,1,0,1,1,1,1,14.6600675582886,17.6738700866699,32.086784362793,2
